,gene,p,difference,q,subclass
14160,LOC100128191,9.6568592137485e-21,-0.821304118467143,4.46304157504616e-19,2
14289,LOC399815,1.82739443637293e-16,-1.26783239470042,4.66820888155296e-15,2
14322,LOC644165,7.74996397635197e-20,1.53405258461923,3.17748523030431e-18,2
14337,LOC653501,1.94592190262998e-16,0.68727742719284,4.94318594649907e-15,2
14342,LOC723809,9.93494373765745e-29,2.92524906933322,1.24447160763498e-26,2
14362,LOC80054,1.10420758039663e-17,1.17973922527294,3.33705861609717e-16,2
14381,LOXL2,8.87398417228359e-16,-1.18135861580041,2.03490475030832e-14,2
14395,LPPR1,8.47282381091985e-16,2.04157081030767,1.94553601615344e-14,2
14470,LRRK2,8.86309215478559e-34,2.49487336309704,2.77552315185122e-31,2
14477,LSG1,4.27902185202617e-16,-0.353230229005781,1.03488513846007e-14,2
14511,LYAR,8.00344544446542e-21,-0.533899993957101,3.72734819507245e-19,2
14535,MACROD2,1.3444807395639e-20,2.31214557326504,6.10495091817478e-19,2
14536,MAD2L1,3.34183253816814e-30,-1.47341063100419,5.46826165682414e-28,2
14565,MALL,9.27780723913117e-20,1.27329323682707,3.75306932927259e-18,2
14568,MAMDC2,2.72083928681815e-32,2.26370547032229,6.58914719553041e-30,2
14582,MAOA,2.5413162814033e-16,1.18358889763981,6.39306476719226e-15,2
14606,MAP6D1,3.96254789527794e-23,-1.02270251424573,2.36749202045833e-21,2
14610,MAPK10,1.22398117592044e-17,1.48906995916996,3.68676121032221e-16,2
14622,MAPKAPK5,7.93180288519844e-17,-0.352990557807258,2.13746789026497e-15,2
14641,MARS,9.22056271670115e-17,-0.489774279100418,2.46283942093299e-15,2
14649,MASTL,5.41858637804028e-18,-0.607310629621558,1.7145955467656e-16,2
14663,MBIP,9.7963056775942e-22,1.01114335825774,5.11293965580872e-20,2
14684,MCM10,3.86282668426312e-31,-1.99757412235716,7.46388521981607e-29,2
14685,MCM2,5.55931302559317e-29,-1.08516703919955,7.31694220897455e-27,2
14688,MCM4,1.54198394112208e-28,-1.14966928472146,1.86713695484002e-26,2
14690,MCM6,1.05312303911722e-22,-0.870550478470907,6.0916795412376e-21,2
14691,MCM7,1.15912203086226e-28,-0.844297995442505,1.43218594874498e-26,2
14692,MCM8,1.0873124048e-17,-0.77609700264502,3.29697081942945e-16,2
14730,MEF2C,8.17833744251765e-16,0.833450873318956,1.89226933717768e-14,2
14733,MEGF11,1.78217662714853e-16,2.75178329889206,4.56553936232704e-15,2
14739,MELK,6.53832430821091e-34,-2.02580840691124,2.15919244381881e-31,2
14748,MEST,3.55392395717755e-19,-0.691557773134372,1.32003928086331e-17,2
14760,METTL7A,2.27713894475742e-16,0.855746053833427,5.76040036958622e-15,2
14768,MFAP4,1.87739487185253e-21,1.56646559790603,9.5784053532184e-20,2
14777,MFSD2A,4.44848420271563e-20,1.36728906301538,1.87465936366413e-18,2
14778,MFSD2B,9.20084688390567e-20,-1.01109288088525,3.7302451328656e-18,2
14806,MGC87042,3.49653574510401e-19,-1.48971595042585,1.30405705828181e-17,2
14808,MGLL,1.12974487961405e-22,0.978374800007721,6.4324627738025e-21,2
14809,MGP,1.26512232851366e-25,1.35757270800898,1.05891321902275e-23,2
14831,MKI67,1.47807648807645e-26,-1.5169216493561,1.40556561533678e-24,2
14838,MLF1IP,9.59749332777534e-22,-1.11445115692573,5.02361012427618e-20,2
14843,MLLT11,1.45910913068279e-26,-1.42662509778978,1.3948826881072e-24,2
14847,MLPH,1.62458508414448e-16,1.06594273030446,4.19734550260543e-15,2
14864,MMP28,8.12411302635954e-19,1.94688239609127,2.88763727784282e-17,2
14874,MOAP1,2.73947092644279e-16,0.526655119556986,6.86303592234212e-15,2
14882,MOCS1,2.45118792225813e-17,0.769691827966911,7.05561429983747e-16,2
14895,MOSC2,7.36848878819065e-18,0.918162748948717,2.29612062434509e-16,2
14949,MRPL47,1.11901758337667e-22,-0.549305384789271,6.41158245011686e-21,2
14962,MRPS17,2.49203956901674e-17,-0.567984026943018,7.16185359051441e-16,2
14981,MS4A2,1.2647832903348e-25,1.90676168287675,1.05891321902275e-23,2
14987,MSH2,3.08306685668281e-17,-0.485900896900977,8.74964739342654e-16,2
14989,MSH6,2.22942044835922e-17,-0.474171671903065,6.45820791125176e-16,2
15013,MTBP,6.74562879439063e-23,-1.11436235172874,3.93957735667257e-21,2
